ParticipantID;SVO_type;pvq_1;pvq_2;pvq_3;pvq_4;pvq_5
p1;social;1;2;3;4;5
p2;self;5;1;2;3;4
p3;self;4;5;1;2;3
p4;self;3;4;5;1;2
p5;self;2;3;4;5;1
p6;self;1;2;3;4;5
p7;self;5;1;2;3;4
p8;social;4;5;1;2;3
p9;self;3;4;5;1;2
p10;social;2;3;4;5;1
p11;self;1;2;3;4;5
p12;self;5;1;2;3;4
p13;self;4;5;1;2;3
p14;self;3;4;5;1;2
p15;self;2;3;4;5;1
p16;self;1;2;3;4;5
p17;self;5;1;2;3;4
p18;self;4;5;1;2;3
p19;self;3;4;5;1;2
p20;social;2;3;4;5;1
p21;social;1;2;3;4;5
p22;self;5;1;2;3;4
p23;self;4;5;1;2;3
p24;self;3;4;5;1;2
p25;self;2;3;4;5;1
p26;self;1;2;3;4;5
p27;self;5;1;2;3;4
p28;social;4;5;1;2;3
p29;self;3;4;5;1;2
p30;social;2;3;4;5;1
p31;self;1;2;3;4;5
p32;self;5;1;2;3;4
p33;self;4;5;1;2;3
p34;self;3;4;5;1;2
p35;self;2;3;4;5;1
p36;self;1;2;3;4;5
p37;self;5;1;2;3;4
p38;self;4;5;1;2;3
p39;self;3;4;5;1;2
p40;social;2;3;4;5;1
p41;social;1;2;3;4;5
p42;self;5;1;2;3;4
p43;self;4;5;1;2;3
p44;self;3;4;5;1;2
p45;self;2;3;4;5;1
p46;self;1;2;3;4;5
p47;self;5;1;2;3;4
p48;social;4;5;1;2;3
p49;self;3;4;5;1;2
p50;social;2;3;4;5;1
p51;self;1;2;3;4;5
p52;self;5;1;2;3;4
p53;self;4;5;1;2;3
p54;self;3;4;5;1;2
p55;self;2;3;4;5;1
p56;self;1;2;3;4;5
p57;self;5;1;2;3;4
p58;self;4;5;1;2;3
p59;self;3;4;5;1;2
p60;social;2;3;4;5;1
